trade_id,slug,entry_time,exit_time,direction,entry_price,exit_price,position_notional,quantity,p_model_up,p_market_up,alpha,gross_pnl,fees_paid,net_pnl,gross_return_pct,net_return_pct,hold_seconds,exit_type
1,btc-updown-15m-1765608300,2025-12-13T06:59:11+00:00,2025-12-13T06:59:12+00:00,DOWN,0.04,0.045,100.0,2500.0,0.903769,0.96,-0.056231,12.5,14.6475,-2.1475,12.5,-2.1475,1,success
2,btc-updown-15m-1765608300,2025-12-13T06:59:25+00:00,2025-12-13T06:59:27+00:00,DOWN,0.025,0.03,100.0,4000.0,0.918263,0.975,-0.056737,20.0,15.4008,4.5992,20.0,4.5992,2,success
3,btc-updown-15m-1765610100,2025-12-13T07:24:14+00:00,2025-12-13T07:24:15+00:00,UP,0.785,0.885,100.0,127.388535,0.847316,0.785,0.062316,12.738854,2.481478,10.257376,12.7389,10.2574,1,success
4,btc-updown-15m-1765622700,2025-12-13T10:58:02+00:00,2025-12-13T10:58:05+00:00,UP,0.065,0.075,100.0,1538.461538,0.107013,0.065,0.042013,15.384615,14.416615,0.968,15.3846,0.968,3,success
5,btc-updown-15m-1765625400,2025-12-13T11:37:48+00:00,2025-12-13T11:37:49+00:00,UP,0.29,0.28,100.0,344.827586,0.34753,0.29,0.05753,-3.448276,10.117241,-13.565517,-3.4483,-13.5655,1,stop_loss
6,btc-updown-15m-1765625400,2025-12-13T11:37:50+00:00,2025-12-13T11:38:00+00:00,UP,0.275,0.205,100.0,363.636364,0.315131,0.275,0.040131,-25.454545,9.486982,-34.941527,-25.4545,-34.9415,10,stop_loss
7,btc-updown-15m-1765628100,2025-12-13T12:24:59+00:00,2025-12-13T12:25:00+00:00,UP,0.09,0.08,100.0,1111.111111,0.137931,0.09,0.047931,-11.111111,12.44,-23.551111,-11.1111,-23.5511,1,stop_loss
8,btc-updown-15m-1765628100,2025-12-13T12:25:06+00:00,2025-12-13T12:25:08+00:00,UP,0.09,0.1,100.0,1111.111111,0.130521,0.09,0.040521,11.111111,13.752,-2.640889,11.1111,-2.6409,2,success
9,btc-updown-15m-1765628100,2025-12-13T12:25:10+00:00,2025-12-13T12:25:11+00:00,UP,0.095,0.105,100.0,1052.631579,0.151359,0.095,0.056359,10.526316,13.638316,-3.112,10.5263,-3.112,1,success
10,btc-updown-15m-1765629000,2025-12-13T12:40:17+00:00,2025-12-13T12:40:19+00:00,DOWN,0.055,0.05,100.0,1818.181818,0.899749,0.945,-0.045251,-9.090909,13.022182,-22.113091,-9.0909,-22.1131,2,stop_loss
11,btc-updown-15m-1765629000,2025-12-13T12:40:21+00:00,2025-12-13T12:40:26+00:00,DOWN,0.05,0.06,100.0,2000.0,0.895077,0.95,-0.054923,20.0,14.9616,5.0384,20.0,5.0384,5,success
12,btc-updown-15m-1765629000,2025-12-13T12:42:57+00:00,2025-12-13T12:43:00+00:00,DOWN,0.36,0.425,100.0,277.777778,0.595286,0.64,-0.044714,18.055556,9.4955,8.560056,18.0556,8.5601,1,success
13,btc-updown-15m-1765629000,2025-12-13T12:43:42+00:00,2025-12-13T12:43:44+00:00,DOWN,0.525,0.585,100.0,190.47619,0.419329,0.475,-0.055671,11.428571,6.749486,4.679086,11.4286,4.6791,1,success
14,btc-updown-15m-1765629000,2025-12-13T12:44:19+00:00,2025-12-13T12:44:21+00:00,DOWN,0.815,0.645,100.0,122.699387,0.144095,0.185,-0.040905,-20.858896,3.354847,-24.213742,-20.8589,-24.2137,1,stop_loss
15,btc-updown-15m-1765630800,2025-12-13T13:14:34+00:00,2025-12-13T13:14:36+00:00,UP,0.38,0.285,100.0,263.157895,0.460609,0.38,0.080609,-25.0,8.325,-33.325,-25.0,-33.325,1,stop_loss
16,btc-updown-15m-1765630800,2025-12-13T13:14:38+00:00,2025-12-13T13:14:39+00:00,UP,0.27,0.265,100.0,370.37037,0.323928,0.27,0.053928,-1.851852,10.45,-12.301852,-1.8519,-12.3019,1,stop_loss
17,btc-updown-15m-1765630800,2025-12-13T13:14:40+00:00,2025-12-13T13:14:41+00:00,UP,0.26,0.275,100.0,384.615385,0.302981,0.26,0.042981,5.769231,10.849154,-5.079923,5.7692,-5.0799,1,success
18,btc-updown-15m-1765630800,2025-12-13T13:14:42+00:00,2025-12-13T13:14:42+00:00,UP,0.235,0.235,100.0,425.531915,0.31002,0.235,0.07502,0.0,11.016,-11.016,0.0,-11.016,0,timeout
19,btc-updown-15m-1765632600,2025-12-13T13:38:42+00:00,2025-12-13T13:38:54+00:00,UP,0.59,0.63,100.0,169.491525,0.636549,0.59,0.046549,6.779661,5.79661,0.983051,6.7797,0.9831,8,success
20,btc-updown-15m-1765632600,2025-12-13T13:44:12+00:00,2025-12-13T13:44:22+00:00,DOWN,0.21,0.19,100.0,476.190476,0.749883,0.79,-0.040117,-9.52381,10.964571,-20.488381,-9.5238,-20.4884,4,stop_loss
21,btc-updown-15m-1765632600,2025-12-13T13:44:28+00:00,2025-12-13T13:44:41+00:00,UP,0.88,0.93,100.0,113.636364,0.963122,0.88,0.083122,5.681818,1.396636,4.285182,5.6818,4.2852,10,success
22,btc-updown-15m-1765633500,2025-12-13T13:58:40+00:00,2025-12-13T13:58:42+00:00,DOWN,0.135,0.085,100.0,740.740741,0.817931,0.865,-0.047069,-37.037037,10.376,-47.413037,-37.037,-47.413,1,stop_loss
23,btc-updown-15m-1765634400,2025-12-13T14:13:26+00:00,2025-12-13T14:13:27+00:00,UP,0.74,0.685,100.0,135.135135,0.780892,0.74,0.040892,-7.432432,3.971432,-11.403865,-7.4324,-11.4039,1,stop_loss
24,btc-updown-15m-1765638900,2025-12-13T15:29:26+00:00,2025-12-13T15:29:29+00:00,UP,0.455,0.435,100.0,219.78022,0.504979,0.455,0.049979,-4.395604,7.813187,-12.208791,-4.3956,-12.2088,3,stop_loss
25,btc-updown-15m-1765638900,2025-12-13T15:29:36+00:00,2025-12-13T15:29:37+00:00,UP,0.41,0.415,100.0,243.902439,0.454636,0.41,0.044636,1.219512,8.511366,-7.291854,1.2195,-7.2919,1,timeout
26,btc-updown-15m-1765640700,2025-12-13T15:53:09+00:00,2025-12-13T15:53:11+00:00,UP,0.27,0.26,100.0,370.37037,0.360482,0.27,0.090482,-3.703704,10.386667,-14.09037,-3.7037,-14.0904,1,stop_loss
27,btc-updown-15m-1765640700,2025-12-13T15:53:12+00:00,2025-12-13T15:53:13+00:00,UP,0.26,0.275,100.0,384.615385,0.355541,0.26,0.095541,5.769231,10.849154,-5.079923,5.7692,-5.0799,1,success
28,btc-updown-15m-1765640700,2025-12-13T15:53:14+00:00,2025-12-13T15:53:18+00:00,UP,0.27,0.285,100.0,370.37037,0.35001,0.27,0.08001,5.555556,10.69,-5.134444,5.5556,-5.1344,4,success
29,btc-updown-15m-1765640700,2025-12-13T15:53:27+00:00,2025-12-13T15:53:29+00:00,UP,0.245,0.24,100.0,408.163265,0.333672,0.245,0.088672,-2.040816,10.796327,-12.837143,-2.0408,-12.8371,2,stop_loss
30,btc-updown-15m-1765640700,2025-12-13T15:53:30+00:00,2025-12-13T15:53:31+00:00,UP,0.235,0.245,100.0,425.531915,0.312412,0.235,0.077412,4.255319,11.175319,-6.92,4.2553,-6.92,1,success
31,btc-updown-15m-1765640700,2025-12-13T15:53:32+00:00,2025-12-13T15:53:42+00:00,UP,0.24,0.255,100.0,416.666667,0.321067,0.24,0.081067,6.25,11.17125,-4.92125,6.25,-4.9212,4,success
32,btc-updown-15m-1765640700,2025-12-13T15:53:52+00:00,2025-12-13T15:53:53+00:00,UP,0.255,0.245,100.0,392.156863,0.296959,0.255,0.041959,-3.921569,10.586824,-14.508392,-3.9216,-14.5084,1,stop_loss
33,btc-updown-15m-1765640700,2025-12-13T15:57:44+00:00,2025-12-13T15:57:50+00:00,UP,0.305,0.3,100.0,327.868852,0.346104,0.305,0.041104,-1.639344,9.961377,-11.600721,-1.6393,-11.6007,3,stop_loss
34,btc-updown-15m-1765640700,2025-12-13T15:57:51+00:00,2025-12-13T15:57:58+00:00,UP,0.3,0.275,100.0,333.333333,0.414615,0.3,0.114615,-8.333333,9.825,-18.158333,-8.3333,-18.1583,1,stop_loss
35,btc-updown-15m-1765640700,2025-12-13T15:58:00+00:00,2025-12-13T15:58:02+00:00,UP,0.28,0.295,100.0,357.142857,0.321562,0.28,0.041562,5.357143,10.531929,-5.174786,5.3571,-5.1748,1,success
36,btc-updown-15m-1765640700,2025-12-13T15:58:06+00:00,2025-12-13T15:58:10+00:00,UP,0.275,0.265,100.0,363.636364,0.328015,0.275,0.053015,-3.636364,10.319564,-13.955927,-3.6364,-13.9559,4,stop_loss
37,btc-updown-15m-1765640700,2025-12-13T15:58:17+00:00,2025-12-13T15:58:27+00:00,UP,0.275,0.26,100.0,363.636364,0.317896,0.275,0.042896,-5.454545,10.257382,-15.711927,-5.4545,-15.7119,2,stop_loss
38,btc-updown-15m-1765640700,2025-12-13T15:59:02+00:00,2025-12-13T15:59:07+00:00,UP,0.595,0.44,100.0,168.067227,0.782335,0.595,0.187335,-26.05042,5.897647,-31.948067,-26.0504,-31.9481,1,stop_loss
39,btc-updown-15m-1765640700,2025-12-13T15:59:22+00:00,2025-12-13T15:59:24+00:00,UP,0.185,0.1,100.0,540.540541,0.253581,0.185,0.068581,-45.945946,9.370703,-55.316649,-45.9459,-55.3166,1,stop_loss
40,btc-updown-15m-1765642500,2025-12-13T16:18:36+00:00,2025-12-13T16:18:37+00:00,UP,0.215,0.205,100.0,465.116279,0.25583,0.215,0.04083,-4.651163,11.109767,-15.76093,-4.6512,-15.7609,1,stop_loss
41,btc-updown-15m-1765642500,2025-12-13T16:18:39+00:00,2025-12-13T16:19:02+00:00,UP,0.205,0.195,100.0,487.804878,0.245898,0.205,0.040898,-4.878049,11.237268,-16.115317,-4.878,-16.1153,23,stop_loss
42,btc-updown-15m-1765642500,2025-12-13T16:19:23+00:00,2025-12-13T16:19:24+00:00,UP,0.175,0.17,100.0,571.428571,0.238349,0.175,0.063349,-2.857143,11.745257,-14.6024,-2.8571,-14.6024,1,stop_loss
43,btc-updown-15m-1765642500,2025-12-13T16:19:25+00:00,2025-12-13T16:19:31+00:00,UP,0.17,0.165,100.0,588.235294,0.225783,0.17,0.055783,-2.941176,11.811176,-14.752353,-2.9412,-14.7524,6,stop_loss
44,btc-updown-15m-1765642500,2025-12-13T16:21:20+00:00,2025-12-13T16:21:22+00:00,UP,0.1,0.095,100.0,1000.0,0.145883,0.1,0.045883,-5.0,12.6702,-17.6702,-5.0,-17.6702,2,stop_loss
45,btc-updown-15m-1765642500,2025-12-13T16:21:23+00:00,2025-12-13T16:21:26+00:00,UP,0.1,0.095,100.0,1000.0,0.154091,0.1,0.054091,-5.0,12.6702,-17.6702,-5.0,-17.6702,3,stop_loss
