trade_id,slug,entry_time,exit_time,direction,entry_price,exit_price,position_notional,quantity,p_model_up,p_market_up,alpha,gross_pnl,fees_paid,net_pnl,gross_return_pct,net_return_pct,hold_seconds,exit_type,timestamp,capital_before,capital_after,cumulative_pnl,drawdown,drawdown_pct,trade_return,rolling_avg_return_30,rolling_win_rate_30,rolling_sharpe_30
1,btc-updown-15m-1765608300,2025-12-13T06:59:11+00:00,2025-12-13T06:59:12+00:00,DOWN,0.04,0.045,100.0,2500.0,0.903769,0.96,-0.056231,12.5,14.6475,-2.1475,12.5,-2.1475,1,success,2025-12-13T06:59:12+00:00,10000.0,9997.8525,-2.1475,0.0,0.0,-0.021475,,,
2,btc-updown-15m-1765608300,2025-12-13T06:59:25+00:00,2025-12-13T06:59:27+00:00,DOWN,0.025,0.03,100.0,4000.0,0.918263,0.975,-0.056737,20.0,15.4008,4.5992,20.0,4.5992,2,success,2025-12-13T06:59:27+00:00,9997.8525,10002.4517,2.4516999999999998,0.0,0.0,0.045992,,,
3,btc-updown-15m-1765610100,2025-12-13T07:24:14+00:00,2025-12-13T07:24:15+00:00,UP,0.785,0.885,100.0,127.388535,0.847316,0.785,0.062316,12.738854,2.481478,10.257376,12.7389,10.2574,1,success,2025-12-13T07:24:15+00:00,10002.4517,10012.709076,12.709076,0.0,0.0,0.10257376000000001,,,
4,btc-updown-15m-1765622700,2025-12-13T10:58:02+00:00,2025-12-13T10:58:05+00:00,UP,0.065,0.075,100.0,1538.461538,0.107013,0.065,0.042013,15.384615,14.416615,0.968,15.3846,0.968,3,success,2025-12-13T10:58:05+00:00,10012.709076,10013.677076,13.677076,0.0,0.0,0.00968,,,
5,btc-updown-15m-1765625400,2025-12-13T11:37:48+00:00,2025-12-13T11:37:49+00:00,UP,0.29,0.28,100.0,344.827586,0.34753,0.29,0.05753,-3.448276,10.117241,-13.565517,-3.4483,-13.5655,1,stop_loss,2025-12-13T11:37:49+00:00,10013.677076,10000.111559,0.11155899999999974,-13.56551699999909,-0.0013546988680623487,-0.13565517,,,
6,btc-updown-15m-1765625400,2025-12-13T11:37:50+00:00,2025-12-13T11:38:00+00:00,UP,0.275,0.205,100.0,363.636364,0.315131,0.275,0.040131,-25.454545,9.486982,-34.941527,-25.4545,-34.9415,10,stop_loss,2025-12-13T11:38:00+00:00,10000.111559,9965.170032,-34.829968,-48.50704399999995,-0.004844079116177798,-0.34941527,,,
7,btc-updown-15m-1765628100,2025-12-13T12:24:59+00:00,2025-12-13T12:25:00+00:00,UP,0.09,0.08,100.0,1111.111111,0.137931,0.09,0.047931,-11.111111,12.44,-23.551111,-11.1111,-23.5511,1,stop_loss,2025-12-13T12:25:00+00:00,9965.170032,9941.618921,-58.381079,-72.05815500000062,-0.007195973512337839,-0.23551111,,,
8,btc-updown-15m-1765628100,2025-12-13T12:25:06+00:00,2025-12-13T12:25:08+00:00,UP,0.09,0.1,100.0,1111.111111,0.130521,0.09,0.040521,11.111111,13.752,-2.640889,11.1111,-2.6409,2,success,2025-12-13T12:25:08+00:00,9941.618921,9938.978032,-61.021968,-74.69904399999905,-0.007459701709278392,-0.02640889,,,
9,btc-updown-15m-1765628100,2025-12-13T12:25:10+00:00,2025-12-13T12:25:11+00:00,UP,0.095,0.105,100.0,1052.631579,0.151359,0.095,0.056359,10.526316,13.638316,-3.112,10.5263,-3.112,1,success,2025-12-13T12:25:11+00:00,9938.978032,9935.866032,-64.133968,-77.81104400000004,-0.0077704766600164765,-0.031120000000000002,,,
10,btc-updown-15m-1765629000,2025-12-13T12:40:17+00:00,2025-12-13T12:40:19+00:00,DOWN,0.055,0.05,100.0,1818.181818,0.899749,0.945,-0.045251,-9.090909,13.022182,-22.113091,-9.0909,-22.1131,2,stop_loss,2025-12-13T12:40:19+00:00,9935.866032,9913.752941,-86.247059,-99.9241349999993,-0.0099787654666326,-0.22113091,,,
